,Retirement Date,Exact Age,NTCA Lump Sum,Full Lump Sum,Δ Lump Sum,% Δ Lump Sum,NTCA Annuity,Monthly Annuity,Δ Monthly Annuity,% Δ Monthly Annuity
0,2029-06-01,55,900585.06,900585.06,0,0,5226.71,5226.728507519999,0.0185075199988205,0.0003540950234243051
1,2029-07-01,55.083333333333336,899709.71,899344.96,-364.75,-0.040540854005010125,5227.3,5227.320501165364,0.020501165363384644,0.00039219416072130243
2,2029-08-01,55.166666666666664,898831.11,898104.56,-726.5499999999302,-0.08083276067290664,5227.92,5227.912561861556,-0.0074381384438311215,-0.0001422772047741955
3,2029-09-01,55.25,897949.22,896863.87,-1085.3499999999767,-0.12086986388829167,5228.54,5228.504689616171,-0.035310383828800695,-0.0006753392692568231
4,2029-10-01,55.333333333333336,897064.05,895622.89,-1441.1600000000326,-0.1606529656382989,5229.18,5229.096884436804,-0.08311556319586089,-0.001589456916684086
5,2029-11-01,55.416666666666664,896175.57,894381.62,-1793.9499999999534,-0.2001784092373723,5229.84,5229.68914633105,-0.15085366894982144,-0.002884479619831992
6,2029-12-01,55.5,895283.77,893140.05,-2143.719999999972,-0.23944586865457998,5230.51,5230.2814753065095,-0.22852469349072635,-0.004369070960398247
7,2030-01-01,55.583333333333336,894388.63,891898.19,-2490.4400000000605,-0.27845166144386924,5231.2,5230.873871370776,-0.32612862922360364,-0.006234298616447539
8,2030-02-01,55.666666666666664,928086.35,921807.9,-6278.449999999953,-0.6764941645785388,5434.48,5414.443698808593,-20.036301191406892,-0.368688470495924
9,2030-03-01,55.75,927149.56,917685.36,-9464.20000000007,-1.020784607825308,5435.23,5398.3701977754545,-36.85980222454509,-0.6781645344271556
10,2030-04-01,55.833333333333336,926209.27,913570.45,-12638.820000000065,-1.3645749842257642,5435.99,5382.29298622553,-53.69701377447018,-0.9878056025575871
11,2030-05-01,55.916666666666664,925265.44,909463.17,-15802.269999999902,-1.7078634213334394,5436.77,5366.2120635244855,-70.55793647551491,-1.2977914547702938
12,2030-06-01,56,924318.07,905363.51,-18954.55999999994,-2.0506534076521885,5437.57,5350.127429037901,-87.44257096209913,-1.6081185338689734
13,2030-07-01,56.083333333333336,923380.05,901209.06,-22170.98999999999,-2.401068769029609,5438.26,5334.039082131253,-104.22091786874716,-1.916438674663351
14,2030-08-01,56.166666666666664,922438.56,897062.62,-25375.94000000006,-2.7509626223778048,5438.97,5317.947022169928,-121.0229778300727,-2.2251083905605786
15,2030-09-01,56.25,921493.61,892924.19,-28569.420000000042,-3.100338373480424,5439.7,5301.851248519209,-137.84875148079118,-2.534124151714087
16,2030-10-01,56.333333333333336,920545.16,888793.79,-31751.369999999995,-3.4491919983588852,5440.44,5285.751760544288,-154.68823945571148,-2.8433038404193685
17,2030-11-01,56.416666666666664,919593.21,884671.4,-34921.80999999994,-3.7975280395991553,5441.2,5269.64855761026,-171.55144238974026,-3.152823685763072
18,2030-12-01,56.5,918637.73,880557.03,-38080.69999999995,-4.145344650714483,5441.98,5253.541639082125,-188.4383609178749,-3.4626801443201725
19,2031-01-01,56.583333333333336,917678.72,909997.73,-7680.989999999991,-0.8370020828204441,5442.78,5437.898988305519,-4.881011694480549,-0.08967865124955535
20,2031-02-01,56.666666666666664,950886.81,905849.4,-45037.41000000003,-4.736358683953144,5646.51,5421.8073422389725,-224.7026577610277,-3.979496321816975
