Age,417(e)
0,0.00331
1,0.00024
2,0.00015
3,0.00011
4,0.0001
5,0.00008
6,0.00008
7,0.00007
8,0.00006
9,0.00005
10,0.00006
11,0.00006
12,0.00007
13,0.00009
14,0.00011
15,0.00013
16,0.00015
17,0.00018
18,0.0002
19,0.00022
20,0.00023
21,0.00024
22,0.00024
23,0.00026
24,0.00027
25,0.00027
26,0.00028
27,0.0003
28,0.0003
29,0.00032
30,0.00034
31,0.00035
32,0.00037
33,0.0004
34,0.00042
35,0.00044
36,0.00047
37,0.00049
38,0.00051
39,0.00054
40,0.00056
41,0.00057
42,0.00059
43,0.00061
44,0.00063
45,0.00066
46,0.0007
47,0.00074
48,0.00079
49,0.00084
50,0.00092
51,0.00102
52,0.00114
53,0.00127
54,0.00144
55,0.00172
56,0.00212
57,0.00246
58,0.00285
59,0.00328
60,0.00379
61,0.00433
62,0.00512
63,0.00591
64,0.00656
65,0.0074
66,0.00832
67,0.0092
68,0.01017
69,0.01126
70,0.01251
71,0.01396
72,0.01559
73,0.01745
74,0.01959
75,0.02204
76,0.02485
77,0.02805
78,0.03169
79,0.03583
80,0.04079
81,0.04583
82,0.0515
83,0.05787
84,0.06508
85,0.07327
86,0.08259
87,0.0931
88,0.10497
89,0.11814
90,0.13262
91,0.14773
92,0.16329
93,0.17927
94,0.19542
95,0.2117
96,0.22904
97,0.24682
98,0.26513
99,0.28401
100,0.30325
101,0.32271
102,0.34211
103,0.3614
104,0.38043
105,0.39884
106,0.41675
107,0.434
108,0.45044
109,0.46615
110,0.47865
111,0.48673
112,0.49436
113,0.49788
114,0.49885
115,0.49978
116,0.4999
117,0.49998
118,0.5
119,0.5
120,1
